"recencyscore","frequencyscore","monetaryscore","rfmscore","rfmvalue","fmscore","rfmshortscore","rfmsegment","rfmsegmentorder","recencyorder","frequencyorder","monetaryorder","r_order","fm_order"
"1","1","1","111","3","1","11",Lost,11,5,5,5,5,5
"1","1","2","112","4","2","12",Lost,11,5,5,4,5,4
"1","1","3","113","5","2","12",Lost,11,5,5,3,5,4
"1","1","4","114","6","3","13",At Risk,8,5,5,2,5,3
"1","1","5","115","7","3","13",At Risk,8,5,5,1,5,3
"1","2","1","121","4","2","12",Lost,11,5,4,5,5,4
"1","2","2","122","5","2","12",Lost,11,5,4,4,5,4
"1","2","3","123","6","3","13",At Risk,8,5,4,3,5,3
"1","2","4","124","7","3","13",At Risk,8,5,4,2,5,3
"1","2","5","125","8","4","14",At Risk,8,5,4,1,5,2
"1","3","1","131","5","2","12",Lost,11,5,3,5,5,4
"1","3","2","132","6","3","13",At Risk,8,5,3,4,5,3
"1","3","3","133","7","3","13",At Risk,8,5,3,3,5,3
"1","3","4","134","8","4","14",At Risk,8,5,3,2,5,2
"1","3","5","135","9","4","14",At Risk,8,5,3,1,5,2
"1","4","1","141","6","3","13",At Risk,8,5,2,5,5,3
"1","4","2","142","7","3","13",At Risk,8,5,2,4,5,3
"1","4","3","143","8","4","14",At Risk,8,5,2,3,5,2
"1","4","4","144","9","4","14",At Risk,8,5,2,2,5,2
"1","4","5","145","10","5","15",Don't Lose Them,9,5,2,1,5,1
"1","5","1","151","7","3","13",At Risk,8,5,1,5,5,3
"1","5","2","152","8","4","14",At Risk,8,5,1,4,5,2
"1","5","3","153","9","4","14",At Risk,8,5,1,3,5,2
"1","5","4","154","10","5","15",Don't Lose Them,9,5,1,2,5,1
"1","5","5","155","11","5","15",Don't Lose Them,9,5,1,1,5,1
"2","1","1","211","4","1","21",Lost,11,4,5,5,4,5
"2","1","2","212","5","2","22",Hibernating,10,4,5,4,4,4
"2","1","3","213","6","2","22",Hibernating,10,4,5,3,4,4
"2","1","4","214","7","3","23",At Risk,8,4,5,2,4,3
"2","1","5","215","8","3","23",At Risk,8,4,5,1,4,3
"2","2","1","221","5","2","22",Hibernating,10,4,4,5,4,4
"2","2","2","222","6","2","22",Hibernating,10,4,4,4,4,4
"2","2","3","223","7","3","23",At Risk,8,4,4,3,4,3
"2","2","4","224","8","3","23",At Risk,8,4,4,2,4,3
"2","2","5","225","9","4","24",At Risk,8,4,4,1,4,2
"2","3","1","231","6","2","22",Hibernating,10,4,3,5,4,4
"2","3","2","232","7","3","23",At Risk,8,4,3,4,4,3
"2","3","3","233","8","3","23",At Risk,8,4,3,3,4,3
"2","3","4","234","9","4","24",At Risk,8,4,3,2,4,2
"2","3","5","235","10","4","24",At Risk,8,4,3,1,4,2
"2","4","1","241","7","3","23",At Risk,8,4,2,5,4,3
"2","4","2","242","8","3","23",At Risk,8,4,2,4,4,3
"2","4","3","243","9","4","24",At Risk,8,4,2,3,4,2
"2","4","4","244","10","4","24",At Risk,8,4,2,2,4,2
"2","4","5","245","11","5","25",At Risk,8,4,2,1,4,1
"2","5","1","251","8","3","23",At Risk,8,4,1,5,4,3
"2","5","2","252","9","4","24",At Risk,8,4,1,4,4,2
"2","5","3","253","10","4","24",At Risk,8,4,1,3,4,2
"2","5","4","254","11","5","25",At Risk,8,4,1,2,4,1
"2","5","5","255","12","5","25",At Risk,8,4,1,1,4,1
"3","1","1","311","5","1","31",About To Sleep,7,3,5,5,3,5
"3","1","2","312","6","2","32",About To Sleep,7,3,5,4,3,4
"3","1","3","313","7","2","32",About To Sleep,7,3,5,3,3,4
"3","1","4","314","8","3","33",Need Attention,6,3,5,2,3,3
"3","1","5","315","9","3","33",Need Attention,6,3,5,1,3,3
"3","2","1","321","6","2","32",About To Sleep,7,3,4,5,3,4
"3","2","2","322","7","2","32",About To Sleep,7,3,4,4,3,4
"3","2","3","323","8","3","33",Need Attention,6,3,4,3,3,3
"3","2","4","324","9","3","33",Need Attention,6,3,4,2,3,3
"3","2","5","325","10","4","34",Loyal Customers,2,3,4,1,3,2
"3","3","1","331","7","2","32",About To Sleep,7,3,3,5,3,4
"3","3","2","332","8","3","33",Need Attention,6,3,3,4,3,3
"3","3","3","333","9","3","33",Need Attention,6,3,3,3,3,3
"3","3","4","334","10","4","34",Loyal Customers,2,3,3,2,3,2
"3","3","5","335","11","4","34",Loyal Customers,2,3,3,1,3,2
"3","4","1","341","8","3","33",Need Attention,6,3,2,5,3,3
"3","4","2","342","9","3","33",Need Attention,6,3,2,4,3,3
"3","4","3","343","10","4","34",Loyal Customers,2,3,2,3,3,2
"3","4","4","344","11","4","34",Loyal Customers,2,3,2,2,3,2
"3","4","5","345","12","5","35",Loyal Customers,2,3,2,1,3,1
"3","5","1","351","9","3","33",Need Attention,6,3,1,5,3,3
"3","5","2","352","10","4","34",Loyal Customers,2,3,1,4,3,2
"3","5","3","353","11","4","34",Loyal Customers,2,3,1,3,3,2
"3","5","4","354","12","5","35",Loyal Customers,2,3,1,2,3,1
"3","5","5","355","13","5","35",Loyal Customers,2,3,1,1,3,1
"4","1","1","411","6","1","41",Promising,5,2,5,5,2,5
"4","1","2","412","7","2","42",Potential Loyalist,3,2,5,4,2,4
"4","1","3","413","8","2","42",Potential Loyalist,3,2,5,3,2,4
"4","1","4","414","9","3","43",Potential Loyalist,3,2,5,2,2,3
"4","1","5","415","10","3","43",Potential Loyalist,3,2,5,1,2,3
"4","2","1","421","7","2","42",Potential Loyalist,3,2,4,5,2,4
"4","2","2","422","8","2","42",Potential Loyalist,3,2,4,4,2,4
"4","2","3","423","9","3","43",Potential Loyalist,3,2,4,3,2,3
"4","2","4","424","10","3","43",Potential Loyalist,3,2,4,2,2,3
"4","2","5","425","11","4","44",Loyal Customers,2,2,4,1,2,2
"4","3","1","431","8","2","42",Potential Loyalist,3,2,3,5,2,4
"4","3","2","432","9","3","43",Potential Loyalist,3,2,3,4,2,3
"4","3","3","433","10","3","43",Potential Loyalist,3,2,3,3,2,3
"4","3","4","434","11","4","44",Loyal Customers,2,2,3,2,2,2
"4","3","5","435","12","4","44",Loyal Customers,2,2,3,1,2,2
"4","4","1","441","9","3","43",Potential Loyalist,3,2,2,5,2,3
"4","4","2","442","10","3","43",Potential Loyalist,3,2,2,4,2,3
"4","4","3","443","11","4","44",Loyal Customers,2,2,2,3,2,2
"4","4","4","444","12","4","44",Loyal Customers,2,2,2,2,2,2
"4","4","5","445","13","5","45",Loyal Customers,2,2,2,1,2,1
"4","5","1","451","10","3","43",Potential Loyalist,3,2,1,5,2,3
"4","5","2","452","11","4","44",Loyal Customers,2,2,1,4,2,2
"4","5","3","453","12","4","44",Loyal Customers,2,2,1,3,2,2
"4","5","4","454","13","5","45",Loyal Customers,2,2,1,2,2,1
"4","5","5","455","14","5","45",Loyal Customers,2,2,1,1,2,1
"5","1","1","511","7","1","51",Recent Customers,4,1,5,5,1,5
"5","1","2","512","8","2","52",Potential Loyalist,3,1,5,4,1,4
"5","1","3","513","9","2","52",Potential Loyalist,3,1,5,3,1,4
"5","1","4","514","10","3","53",Potential Loyalist,3,1,5,2,1,3
"5","1","5","515","11","3","53",Potential Loyalist,3,1,5,1,1,3
"5","2","1","521","8","2","52",Potential Loyalist,3,1,4,5,1,4
"5","2","2","522","9","2","52",Potential Loyalist,3,1,4,4,1,4
"5","2","3","523","10","3","53",Potential Loyalist,3,1,4,3,1,3
"5","2","4","524","11","3","53",Potential Loyalist,3,1,4,2,1,3
"5","2","5","525","12","4","54",Loyal Customers,2,1,4,1,1,2
"5","3","1","531","9","2","52",Potential Loyalist,3,1,3,5,1,4
"5","3","2","532","10","3","53",Potential Loyalist,3,1,3,4,1,3
"5","3","3","533","11","3","53",Potential Loyalist,3,1,3,3,1,3
"5","3","4","534","12","4","54",Loyal Customers,2,1,3,2,1,2
"5","3","5","535","13","4","54",Loyal Customers,2,1,3,1,1,2
"5","4","1","541","10","3","53",Potential Loyalist,3,1,2,5,1,3
"5","4","2","542","11","3","53",Potential Loyalist,3,1,2,4,1,3
"5","4","3","543","12","4","54",Loyal Customers,2,1,2,3,1,2
"5","4","4","544","13","4","54",Loyal Customers,2,1,2,2,1,2
"5","4","5","545","14","5","55",Champions,1,1,2,1,1,1
"5","5","1","551","11","3","53",Potential Loyalist,3,1,1,5,1,3
"5","5","2","552","12","4","54",Loyal Customers,2,1,1,4,1,2
"5","5","3","553","13","4","54",Loyal Customers,2,1,1,3,1,2
"5","5","4","554","14","5","55",Champions,1,1,1,2,1,1
"5","5","5","555","15","5","55",Champions,1,1,1,1,1,1
